new_la_code,la_name,region_name,fairness_combined,Local authority,positive_proportion,inspection_norm,gender_equity_index_refined,fairness_combined_norm,inspection_norm_norm,index_compute_log,equity_index
E06000017,Rutland,East Midlands,0.9094758065146042,Rutland,0.8666666666666667,0.649122807017544,0.8183522566906332,0.9094758065146042,0.649122807017544,3,73.59071401832308
E06000018,Nottingham,East Midlands,0.6099105306639451,Nottingham,0.8383838383838383,0.5746943115364167,0.5975848539693102,0.6099105306639451,0.5746943115364167,3,58.64330512455928
E06000019,"Herefordshire, County of",West Midlands,0.4417901961275042,,,,,0.4417901961275042,,1,44.17901961275042
E06000020,Telford and Wrekin,West Midlands,0.4568592076046612,Telford and Wrekin,0.7419354838709677,0.3208828522920204,0.409267483245237,0.4568592076046612,0.3208828522920204,3,36.62083040629007
E06000021,Stoke-on-Trent,West Midlands,0.5306479189953648,Stoke-on-Trent,0.7941176470588235,0.458204334365325,0.5052926643748509,0.5306479189953648,0.458204334365325,3,48.23521959086716
E06000022,Bath and North East Somerset,South West,0.270239754819801,Bath and North East Somerset,0.7833333333333333,0.4298245614035088,0.3260944371240988,0.270239754819801,0.4298245614035088,3,37.662962587560614
E06000023,"Bristol, City of",South West,0.488043617270506,,,,,0.488043617270506,,1,48.8043617270506
E06000024,North Somerset,South West,0.5841115355197585,North Somerset,0.62,0.0,0.379672498087843,0.5841115355197585,0.0,3,19.470384517325282
E06000025,South Gloucestershire,South West,0.5291830290725145,South Gloucestershire,0.8045977011494253,0.485783424077435,0.5139931673242366,0.5291830290725145,0.485783424077435,3,50.02499590757948
E06000026,Plymouth,South West,0.4935926669587968,Plymouth,0.7738095238095238,0.4047619047619048,0.4625019001898846,0.4935926669587968,0.4047619047619048,3,43.43721588275355
E06000027,Torbay,South West,0.4435869248442404,Torbay,0.8108108108108109,0.5021337126600286,0.4640783005797663,0.4435869248442404,0.5021337126600286,3,48.26181167214325
E06000030,Swindon,South West,0.4410250923315225,Swindon,0.8285714285714286,0.548872180451128,0.4787715731733844,0.4410250923315225,0.548872180451128,3,51.29231510779261
E06000031,Peterborough,East of England,0.4347607043218241,Peterborough,0.6901408450704225,0.1845811712379539,0.3471978677424696,0.4347607043218241,0.1845811712379539,3,26.797434893257734
E06000032,Luton,East of England,0.4173510698830497,Luton,0.8870967741935484,0.7028862478777589,0.5172883821811979,0.4173510698830497,0.7028862478777589,3,60.77078552128559
E06000033,Southend-on-Sea,East of England,0.6297669396368475,,,,,0.6297669396368475,,1,62.97669396368475
E06000034,Thurrock,East of England,0.4754180559806303,Thurrock,0.7727272727272727,0.401913875598086,0.4496915928467399,0.4754180559806303,0.401913875598086,3,42.64152690589341
E06000035,Medway,South East,0.6418122569927924,Medway,0.8227848101265823,0.5336442371752167,0.6039534500566409,0.6418122569927924,0.5336442371752167,3,56.97002437810753
E06000036,Bracknell Forest,South East,0.6409711161821329,Bracknell Forest,0.88,0.6842105263157895,0.6561049097289127,0.6409711161821329,0.6842105263157895,3,66.97973896045707
E06000037,West Berkshire,South East,0.6714162032686383,West Berkshire,0.7560975609756098,0.3581514762516046,0.5617735488126765,0.6714162032686383,0.3581514762516046,3,46.257305192394924
E06000038,Reading,South East,0.4617687689844817,Reading,0.8103448275862069,0.5009074410163338,0.4754673041956299,0.4617687689844817,0.5009074410163338,3,48.78612170057164
E06000039,Slough,South East,0.3448477198106958,Slough,0.8444444444444444,0.5906432748538012,0.4308761640757826,0.3448477198106958,0.5906432748538012,3,50.87114231727661
E06000040,Windsor and Maidenhead,South East,0.4101687114652,Windsor and Maidenhead,0.8333333333333334,0.5614035087719299,0.4631008905225554,0.4101687114652,0.5614035087719299,3,51.099190966968656
E06000041,Wokingham,South East,0.3356413797773587,Wokingham,0.7959183673469388,0.4629430719656283,0.3801969720432531,0.3356413797773587,0.4629430719656283,3,42.05091745695384
E06000042,Milton Keynes,South East,0.6454014659577484,Milton Keynes,0.8333333333333334,0.5614035087719299,0.616002180942712,0.6454014659577484,0.5614035087719299,3,58.940282783386934
E06000043,Brighton and Hove,South East,0.6507645563123194,Brighton and Hove,0.7419354838709677,0.3208828522920204,0.5353059599052148,0.6507645563123194,0.3208828522920204,3,43.08434202987868
E06000044,Portsmouth,South East,0.5815028994956797,Portsmouth,0.7446808510638298,0.328107502799552,0.4928145106520349,0.5815028994956797,0.328107502799552,3,41.25726350315945
E06000045,Southampton,South East,0.4783080611427672,Southampton,0.6944444444444444,0.1959064327485379,0.3794674912047869,0.4783080611427672,0.1959064327485379,3,29.004030887994762
E06000046,Isle of Wight,South East,0.5581103254635291,Isle of Wight,0.717391304347826,0.2562929061784896,0.4524742287137653,0.5581103254635291,0.2562929061784896,3,35.68987126068361
E06000047,County Durham,North East,0.5860741146464121,,,,,0.5860741146464121,,1,58.60741146464121
E06000049,Cheshire East,North West,0.5659099132643488,Cheshire East,0.7560975609756098,0.3581514762516046,0.4931944603098883,0.5659099132643488,0.3581514762516046,3,42.7404288589186
