la_name,fairness_combined,inspection_norm,fairness_combined_norm,inspection_norm_norm,index_compute_log,equity_index
Westmorland and Furness,0.5261018775268487,0.5321637426900584,0.5261018775268487,0.5321637426900584,3,53.014312096898855
North Yorkshire,0.4647561634523437,0.4498441225013755,0.4647561634523437,0.4498441225013755,3,45.4814802818365
Somerset,0.5963743349886894,0.217974180734856,0.5963743349886894,0.217974180734856,3,34.41075654861338
Bolton,0.6094452535375398,0.3945039590125756,0.6094452535375398,0.3945039590125756,3,46.61510571875636
Bury,0.6753487757950274,0.4258373205741628,0.6753487757950274,0.4258373205741628,3,50.90078056477844
Manchester,0.5119873208356444,0.4803888702648342,0.5119873208356444,0.4803888702648342,3,49.09216871217709
Oldham,0.3736133274573248,0.3268053855569155,0.3736133274573248,0.3268053855569155,3,34.2408032857052
Rochdale,0.6027324128415559,0.3984962406015038,0.6027324128415559,0.3984962406015038,3,46.65749646815212
Salford,0.6061013881627142,0.461001902346227,0.6061013881627142,0.461001902346227,3,50.93683976183895
Stockport,0.5139102172731442,0.4267847837415321,0.5139102172731442,0.4267847837415321,3,45.58265949187362
Tameside,0.3621129062521855,0.4654605263157895,0.3621129062521855,0.4654605263157895,3,43.10113196279215
Trafford,0.6826957372644336,0.5046439628482973,0.6826957372644336,0.5046439628482973,3,56.39945543203427
Wigan,0.596967035890984,0.4517543859649122,0.596967035890984,0.4517543859649122,3,50.015860260693614
Knowsley,0.4088689223471287,0.1689750692520776,0.4088689223471287,0.1689750692520776,3,24.893968695042798
Liverpool,0.4668386500058219,0.4227504244482173,0.4668386500058219,0.4227504244482173,3,43.74464996340855
St. Helens,0.5135231799550513,,0.5135231799550513,,1,51.352317995505125
Sefton,0.5287275413984396,0.6668887408394404,0.5287275413984396,0.6668887408394404,3,62.08350076924402
Wirral,0.441607571941062,0.4210526315789474,0.441607571941062,0.4210526315789474,3,42.79042783663189
Barnsley,0.6400015850698744,0.6582365003417634,0.6400015850698744,0.6582365003417634,3,65.21581952511337
Doncaster,0.6829839955505266,0.3908382066276802,0.6829839955505266,0.3908382066276802,3,48.82201362686291
Rotherham,0.5181485864320214,0.2397660818713451,0.5181485864320214,0.2397660818713451,3,33.256025005823716
Sheffield,0.5830288456731603,0.3980048159614724,0.5830288456731603,0.3980048159614724,3,45.96794925320351
Newcastle upon Tyne,0.4964116817059257,0.0753911806543386,0.4964116817059257,0.0753911806543386,3,21.57313476715343
North Tyneside,0.503743896135171,0.3421052631578947,0.503743896135171,0.3421052631578947,3,39.59848074836535
South Tyneside,0.4586214893514014,0.3157894736842105,0.4586214893514014,0.3157894736842105,3,36.34001455732741
Sunderland,0.6137454235214657,0.5240761478163495,0.6137454235214657,0.5240761478163495,3,55.39659063847214
Birmingham,0.4273951405037378,0.5107114519968262,0.4273951405037378,0.5107114519968262,3,48.29393481657968
Coventry,0.399600802732571,0.3550051599587203,0.399600802732571,0.3550051599587203,3,36.987037421667054
Dudley,0.554490316928854,0.4360902255639097,0.554490316928854,0.4360902255639097,3,47.555692268555774
Sandwell,0.520760478078094,0.3361782835467046,0.520760478078094,0.3361782835467046,3,39.77056817238344
Solihull,0.4425822725465422,0.3117408906882592,0.4425822725465422,0.3117408906882592,3,35.535468464102024
Walsall,0.578467924810388,0.5739348370927319,0.578467924810388,0.5739348370927319,3,57.54458663319505
Wolverhampton,0.317975724390609,0.4677705499704315,0.317975724390609,0.4677705499704315,3,41.7838941443824
Bradford,0.4824271066444251,0.3741976893453145,0.4824271066444251,0.3741976893453145,3,41.02741617783514
Calderdale,0.521722183791834,0.6067755595886266,0.521722183791834,0.6067755595886266,3,57.8424434323029
Kirklees,0.467010337496944,0.5120250958522135,0.467010337496944,0.5120250958522135,3,49.702017640045696
Leeds,0.4243261612601294,0.5072342210106943,0.4243261612601294,0.5072342210106943,3,47.95982010938393
Wakefield,0.4005907754089639,0.4009413778348309,0.4005907754089639,0.4009413778348309,3,40.082451035954186
Gateshead,0.4963242438341456,0.4810971089696072,0.4963242438341456,0.4810971089696072,3,48.617282059112
Barking and Dagenham,0.201203635254906,0.7650375939849624,0.201203635254906,0.7650375939849624,3,57.70929410749436
Barnet,0.7614697359926631,0.8302207130730049,0.7614697359926631,0.8302207130730049,3,80.7303720712891
Bexley,0.7066604234901231,0.5679497250589158,0.7066604234901231,0.5679497250589158,3,61.41866245359849
Brent,0.5767901583393809,0.6790757381258024,0.5767901583393809,0.6790757381258024,3,64.49805448636619
Bromley,0.4866860044824763,0.6370235934664246,0.4866860044824763,0.6370235934664246,3,58.691106380510845
Camden,0.2406245355655604,0.7229916897506925,0.2406245355655604,0.7229916897506925,3,56.22026383556484
Croydon,0.4216661203055278,0.4921514312096028,0.4216661203055278,0.4921514312096028,3,46.86563275749111
Ealing,0.5846546649014001,0.7453310696095076,0.5846546649014001,0.7453310696095076,3,69.17722680401384
Enfield,0.3119157151423691,0.5104039167686658,0.3119157151423691,0.5104039167686658,3,44.42411828932335
Greenwich,0.5388676036367805,0.5669553630912725,0.5388676036367805,0.5669553630912725,3,55.75927766064418
Hackney,0.4388858195961985,0.6799431009957326,0.4388858195961985,0.6799431009957326,3,59.95906738625546
Hammersmith and Fulham,0.780691437775267,0.7020854021847072,0.780691437775267,0.7020854021847072,3,72.82874140482271
